"Step","avg_reward","cql-nn-baseline-ver0 - eval_avg_reward__MIN","cql-nn-baseline-ver0 - eval_avg_reward__MAX"
"2005","3.658679797236244","3.658679797236244","3.658679797236244"
"4011","10.647503359526215","10.647503359526215","10.647503359526215"
"6017","10.59107533641694","10.59107533641694","10.59107533641694"
"8023","10.573297892882266","10.573297892882266","10.573297892882266"
"10029","10.630550894303374","10.630550894303374","10.630550894303374"
"12035","10.47211107055054","10.47211107055054","10.47211107055054"
"14041","10.397157267972046","10.397157267972046","10.397157267972046"
"16047","10.749103114681583","10.749103114681583","10.749103114681583"
"18053","10.536899187221545","10.536899187221545","10.536899187221545"
"20059","10.683302806798292","10.683302806798292","10.683302806798292"