"Step","rl_config.agent: baseline_delay - traffic/slice_0_rate","rl_config.agent: baseline_delay - traffic/slice_0_rate__MIN","rl_config.agent: baseline_delay - traffic/slice_0_rate__MAX","rl_config.agent: sac - traffic/slice_0_rate","rl_config.agent: sac - traffic/slice_0_rate__MIN","rl_config.agent: sac - traffic/slice_0_rate__MAX","rl_config.agent: cql - traffic/slice_0_rate","rl_config.agent: cql - traffic/slice_0_rate__MIN","rl_config.agent: cql - traffic/slice_0_rate__MAX","rl_config.agent: baseline - traffic/slice_0_rate","rl_config.agent: baseline - traffic/slice_0_rate__MIN","rl_config.agent: baseline - traffic/slice_0_rate__MAX"
"0","26.923999999999996","11.064","42.767999999999994","27.054399999999998","11.064","42.983999999999995","26.895999999999994","11.064","42.767999999999994","27.407600000000002","11.064","42.99199999999999"
"1","25.775600000000004","11.64","41.400000000000006","25.8408","11.64","41.168000000000006","25.956000000000007","11.64","41.400000000000006","26.098400000000005","10.384","41.39199999999999"
"2","25.917199999999998","10.136","41.288000000000004","26.518","10.136","40.032000000000004","26.3924","10.136","40.14399999999999","26.0748","10.136","41.407999999999994"
"3","25.286800000000003","11.632000000000001","41.736","25.609199999999998","11.632000000000001","41.288","25.907599999999995","11.632000000000001","41.967999999999996","26.4872","11.176","41.512"
"4","27.554399999999998","10.952","45.288","27.284799999999997","10.952","45.064","27.07559999999999","10.952","44.952","27.173600000000004","10.952","44.26399999999999"
"5","25.467599999999997","5.784","41.272","25.91119999999999","11.184000000000001","40.696","25.534","11.184000000000001","39.480000000000004","26.1308","11.512","41.288"
"6","25.409600000000005","1.12","41.624","26.4244","11.52","41.391999999999996","26.1556","11.52","41.391999999999996","26.208000000000006","10.6","42.31999999999999"
"7","25.728799999999996","11.399999999999999","43.56799999999999","26.1484","11.399999999999999","43.336","26.1832","11.399999999999999","43.336","26.3348","10.488","43.336"
"8","27.6144","11.512","43.215999999999994","26.716","11.512","42.416000000000004","26.887199999999996","11.512","42.176","27.0584","12.080000000000002","43.120000000000005"
"9","25.306000000000004","11.168","41.151999999999994","26.030400000000004","11.168","40.704","25.946799999999996","11.168","40.824","26.264400000000002","11.975999999999999","42.544"
"10","28.196800000000003","10.488000000000001","46.215999999999994","26.260399999999997","10.488000000000001","41.72","26.3748","10.488000000000001","41.84","25.6928","9.799999999999999","41.152"
"11","23.6372","0.448","39.12","24.756800000000005","10.592","39.016000000000005","24.602000000000007","10.592","39.016000000000005","25.3364","10.256","39.592"
"12","23.352400000000003","10.712","40.464","26.2856","10.712","40.599999999999994","26.0964","10.712","40.14399999999999","25.669600000000003","9.8","41.056"
"13","28.1644","12.096","42.792","26.2072","11.520000000000001","42.072","26.184800000000003","11.520000000000001","41.72800000000001","26.701999999999998","11.632","42.07200000000001"
"14","26.494","0.448","41.512","26.2988","10.84","40.256","26.1164","10.84","40.135999999999996","26.5708","11.527999999999999","40.93599999999999"
"15","25.611199999999997","0.896","42.440000000000005","26.702400000000004","12.088","42.440000000000005","26.714800000000004","12.088","42.21600000000001","26.9012","10.255999999999998","42.32"
"16","26.778","0.448","43.79200000000001","26.612800000000004","10.248","43.79200000000001","26.846399999999996","10.248","43.792","26.6988","10.6","43.568000000000005"
"17","28.367200000000004","10.824","43.344","26.5084","10.943999999999999","43.800000000000004","26.394800000000004","10.943999999999999","43.224","26.865199999999998","10.144","44.248000000000005"
"18","27.674","10.248","43.448","26.288","9.911999999999999","43.448","26.348400000000005","9.911999999999999","43.559999999999995","26.443599999999996","9.911999999999999","43.664"
"19","25.3316","11.512","43.568","27.052","11.512","42.544000000000004","26.6132","11.512","41.4","27.038400000000003","10.48","43.216"
"20","26.5756","10.024000000000001","42.55199999999999","25.911199999999997","10.719999999999999","42.199999999999996","25.830399999999997","10.719999999999999","41.751999999999995","26.3276","11.296","44.472"
"21","28.7272","10.256","52.03999999999999","26.560399999999998","9.919999999999998","41.391999999999996","26.518400000000003","9.919999999999998","42.184","26.638399999999997","9.911999999999999","41.968"
"22","25.394","11.399999999999999","42.64800000000001","26.558","9.8","40.48800000000001","26.450799999999997","9.687999999999999","40.83200000000001","27.1248","10.712","43.112"
"23","25.6216","10.488","42.072","26.582399999999996","10.600000000000001","41.504","26.3136","10.600000000000001","41.84799999999999","26.712799999999998","10.384","41.879999999999995"
"24","26.499200000000002","11.408","40.57599999999999","26.1104","11.408","40.248000000000005","26.079600000000006","11.408","40.36","26.1144","10.488","40.24"
"25","24.542000000000005","0.224","52.048","25.197599999999998","9.912","40.144000000000005","25.391599999999997","9.912","40.592000000000006","25.9868","9.680000000000001","42.2"
"26","26.437199999999997","12.312000000000001","42.656000000000006","26.208399999999994","12.312000000000001","41.39199999999999","26.22","12.312000000000001","41.61599999999999","25.778399999999998","10.712","42.08"
"27","28.0764","11.512","51.480000000000004","25.57","11.64","41.4","25.606000000000005","11.64","41.408","26.052000000000003","11.624","41.184"
"28","25.968","4.072","41.959999999999994","27.0596","12.2","42.199999999999996","27.014400000000002","12.2","41.96","26.997200000000003","10.255999999999998","44.151999999999994"
"29","26.3428","11.184000000000001","44.128","27.099200000000007","11.392000000000001","43.784000000000006","27.235599999999998","11.392000000000001","44.239999999999995","27.273199999999996","10.936","42.32000000000001"
"30","25.477999999999998","2.4720000000000004","42.416","26.570800000000002","11.4","42.647999999999996","26.594399999999997","11.4","42.760000000000005","27.098800000000004","10.608","42.992000000000004"
"31","27.158000000000005","12.32","41.87199999999999","26.990400000000005","12.32","41.984","26.966800000000006","12.32","41.984","27.5644","12.191999999999998","42.440000000000005"
"32","26.881600000000002","2.144","41.856","26.27","11.056000000000001","41.391999999999996","26.029999999999994","11.056000000000001","41.728","26.153200000000005","11.52","41.848000000000006"
"33","25.518000000000004","3.728","41.056000000000004","25.6332","10.152","41.52000000000001","25.4436","10.152","39.552","25.905199999999997","9.808","41.624"
"34","26.8676","0.784","49.064","25.691200000000002","11.624","40.368","25.342400000000005","11.624","40.704","26.0528","10.264","41.504"
"35","24.125600000000002","0.56","43.344","26.006400000000003","9.464","41.976","25.8468","9.464","43.224000000000004","25.859199999999998","10.376000000000001","42.440000000000005"
"36","22.722","0.56","42.24","26.359199999999998","11.52","41.848","26.432799999999997","11.52","41.623999999999995","26.038","8.656","41.632"
"37","29.946000000000005","11.736","50.448","26.4156","11.736","43.32","26.262","11.736","43.312000000000005","26.6884","10.024000000000001","43.888"
"38","29.5","11.856","42.760000000000005","26.669199999999996","11.623999999999999","43.224000000000004","26.790399999999995","11.623999999999999","42.888","27.028799999999997","11.28","44.93599999999999"
"39","25.0684","10.600000000000001","40.472","25.4764","10.600000000000001","40.008","25.157200000000007","10.600000000000001","40.472","25.194000000000003","10.944","39.216"
"40","23.052","0.336","43.68000000000001","25.808","11.392","43.56800000000001","26.229200000000002","11.271999999999998","43.68000000000001","25.732400000000005","10.024000000000001","43.68000000000001"
"41","24.479599999999998","0.672","40.824","25.543200000000006","11.399999999999999","40.608000000000004","25.332800000000002","11.399999999999999","40.6","26.0348","11.511999999999999","41.968"
"42","28.1476","11.280000000000001","42.08","25.88880000000001","11.280000000000001","42.55200000000001","25.91640000000001","11.280000000000001","42.448","25.879200000000004","11.392000000000001","41.168"
"43","27.934800000000006","10.368","42.208000000000006","25.832800000000002","10.592","42.656","25.8436","10.48","42.776","25.825200000000002","10.488","41.856"
"44","23.5944","0.784","42.192","26.521200000000004","12.08","41.831999999999994","26.614800000000002","12.192","41.832","26.3376","10.600000000000001","42.656000000000006"
"45","25.9584","12.096","51.696000000000005","26.244400000000002","12.096","41.151999999999994","26.2788","12.096","42.19199999999999","26.571600000000007","11.512","41.264"
"46","26.890400000000007","10.367999999999999","44.624","25.482400000000002","10.719999999999999","40.59200000000001","25.773600000000005","10.719999999999999","40.687999999999995","26.194399999999995","10.488","41.28"
"47","27.7112","10.832","41.976","25.8428","10.608","41.856","25.918799999999997","10.496","41.855999999999995","26.2228","11.52","41.400000000000006"
"48","28.999599999999997","11.744","43.248","26.2776","12.088000000000001","42.2","26.363200000000006","12.088000000000001","42.2","26.985999999999997","9.8","42.312"
"49","24.8716","11.736","41.848","26.3512","11.736","41.504","26.380399999999998","11.736","40.704","26.4132","11.736","42.080000000000005"
"50","23.755199999999995","0.448","50.663999999999994","26.3756","10.488000000000001","41.168000000000006","26.357999999999997","10.248000000000001","41.168000000000006","26.658399999999993","11.288","42.544000000000004"
"51","26.935599999999994","11.52","41.168","25.757599999999996","11.632","40.928000000000004","25.947999999999997","11.632","40.928000000000004","26.2284","10.943999999999999","41.52"
"52","27.3228","11.28","42.208","26.5048","11.056000000000001","42.199999999999996","26.111200000000004","11.056000000000001","41.976000000000006","26.726399999999995","11.175999999999998","44.384"
"53","24.176000000000002","0.672","41.76","24.856799999999996","10.032","40.352","25.052","10.032","40.36","24.538800000000005","10.032","40.944"
"54","24.657199999999996","1.2320000000000004","48.25600000000001","25.460799999999995","10.719999999999999","39.336","25.187599999999996","10.719999999999999","39.34400000000001","25.031200000000002","10.719999999999999","40.12799999999999"
"55","28.835200000000004","11.288","44.263999999999996","26.056799999999992","11.288","40.93599999999999","26.2964","11.288","40.93599999999999","26.5844","10.6","42.192"
"56","28.3632","12.303999999999998","42.52","26.878400000000006","12.303999999999998","42.632000000000005","26.7052","12.424","42.51200000000001","26.933599999999995","10.032","41.616"
"57","25.074799999999996","0.448","46.296","26.883599999999994","10.368","46.304","26.833599999999997","10.256","46.304","27.370800000000003","11.632","46.31200000000001"
"58","24.736399999999996","0.56","40.832","26.329999999999995","11.168","40.711999999999996","26.0588","11.168","40.711999999999996","26.649199999999997","10.256","41.52"
"59","26.537200000000002","11.28","44.82399999999999","26.425600000000003","11.736","45.16","26.6376","11.736","45.16","26.024800000000006","10.144","44.59199999999999"
"60","26.530399999999997","12.655999999999999","43.21600000000001","26.444799999999997","11.968","42.99200000000001","26.5476","11.968","42.99200000000001","26.785200000000003","11.968","42.99200000000001"
"61","29.5476","11.512","50.344","26.638000000000005","11.744","42.656000000000006","26.4772","11.744","42.656000000000006","26.979599999999994","11.168","42.77600000000001"
"62","27.421200000000006","11.296","40.727999999999994","25.8024","11.184000000000001","41.168","25.6792","11.184000000000001","40.936","26.089200000000005","11.648","40.720000000000006"
"63","27.232800000000008","10.6","44.968","25.8324","10.592","43.10400000000001","25.9416","10.592","43.10400000000001","26.2044","10.608","43.20000000000001"
"64","25.3104","10.608","42.768","26.265599999999996","10.608","42.648","26.20799999999999","10.608","42.536","26.2524","10.488","43.456"
"65","23.406399999999998","11.416","42.312","26.228400000000004","11.416","42.432","26.3308","11.416","42.544000000000004","26.2776","11.864","42.768"
"66","26.996000000000002","11.632","41.496","25.770799999999998","11.4","42.072","25.616400000000006","11.4","41.952","25.510799999999996","10.944","40.928"
"67","28.876400000000007","11.176","48.60000000000001","25.907999999999998","11.176","41.51200000000001","26.3248","11.176","42.424","26.439600000000002","11.624","42.192"
"68","24.386400000000002","10.719999999999999","43.00000000000001","25.517599999999998","10.719999999999999","43.224000000000004","25.317200000000003","10.719999999999999","43.232000000000006","25.950399999999995","11.168","42.664"
"69","25.876800000000003","0.672","43.224000000000004","26.6068","11.975999999999999","43.096","26.3784","11.975999999999999","42.416","25.96999999999999","11.52","42.296"
"70","25.347599999999996","10.152","43.904","26.679999999999996","10.04","44.592000000000006","26.398000000000003","10.04","44.136","26.916800000000002","11.52","44.032000000000004"
"71","27.4264","11.864","42.66400000000001","26.247200000000003","11.864","42.66400000000001","26.348399999999998","11.864","42.66400000000001","26.591999999999995","11.751999999999999","42.32000000000001"
"72","23.788800000000002","0.448","45.64000000000001","26.216400000000004","10.488","42.656","25.9752","10.376","42.192","25.8384","10.824","41.608"
"73","25.613999999999997","1.472","43.672","27.3156","12.088","43.456","27.276400000000002","12.088","43.688","27.178400000000003","11.408","43.663999999999994"
"74","26.023200000000003","0.336","41.424","25.848000000000003","9.104000000000001","40.807999999999986","25.8644","9.104000000000001","40.68799999999999","26.592400000000005","10.944","42.2"
"75","27.432","11.856","41.727999999999994","26.3496","11.856","40.696000000000005","26.35","11.856","40.80000000000001","26.011599999999998","10.48","40.696000000000005"
"76","30.218400000000003","12.896","44.376","27.085199999999997","12.664","43.559999999999995","27.0976","12.784","43.68","27.389999999999997","12.088","43.208"
"77","29.164399999999993","11.064","47.584","25.690799999999996","11.064","41.04800000000001","25.802000000000003","11.064","41.04800000000001","26.097199999999997","11.064","42.072"
"78","25.738","10.488","40.93599999999999","25.7332","10.712","40.93599999999999","25.985599999999998","10.712","40.93599999999999","26.1276","10.024000000000003","40.47999999999999"
"79","24.1432","11.623999999999999","42.064","26.879999999999995","11.968","41.26399999999999","26.606399999999997","11.968","41.83999999999999","26.5876","10.024000000000001","41.495999999999995"
"80","26.191600000000005","8.768","46.88799999999999","25.4968","8.768","40.599999999999994","25.43","8.768","40.831999999999994","25.7708","8.768","42.29599999999999"
"81","25.8196","0.784","41.512","25.6524","9.456000000000001","40.943999999999996","25.8452","9.456000000000001","40.728","26.549200000000003","11.168","43.8"
"82","25.968399999999995","9.344","46.104","26.3936","9.696","44.84","26.123200000000004","9.696","45.064","26.451600000000003","10.032","45.632"
"83","26.1804","0.896","45.536","25.151200000000003","9.352","42.992","25.3104","9.352","42.647999999999996","24.945199999999993","9.232","42.184"
"84","25.8348","0.672","41.839999999999996","26.0708","12.544000000000004","41.384","25.953999999999997","12.544000000000004","41.608000000000004","25.627599999999994","11.4","42.080000000000005"
"85","23.8772","11.056","40.712","25.2388","10.84","39.57600000000001","25.0512","10.84","39.456","25.696000000000005","11.056","40.83200000000001"
"86","25.9868","10.728","41.535999999999994","25.0844","10.72","40.92799999999999","25.359199999999998","10.72","41.047999999999995","25.534799999999997","9.24","40.367999999999995"
"87","26.46120000000001","0.784","52.39200000000001","26.878000000000004","12.424","44.376000000000005","26.884800000000006","12.424","44.376000000000005","26.6216","10.591999999999999","43.56"
"88","25.739600000000003","0","43.224000000000004","26.8048","12.552","42.216","27.044400000000003","12.552","43.568","27.00400000000001","11.512","42.784"
"89","25.948799999999995","2.9360000000000004","45.416","27.488","9.008000000000001","44.83200000000001","27.5208","9.008000000000001","44.944","27.856","10.144000000000002","45.168000000000006"
"90","26.916800000000006","11.624","40.839999999999996","26.0272","10.488","40.720000000000006","25.656","10.488","40.720000000000006","26.1604","9.576","42.344"
"91","24.4916","0.448","43.008","25.103200000000005","10.144","41.392","25.1056","10.144","41.74399999999999","25.286","10.144","42.768"
"92","29.375999999999994","12.08","44.512","26.5236","10.823999999999998","40.496","26.356800000000003","10.823999999999998","40.496","26.614400000000007","10.608","42.648"
"93","26.715999999999998","2.696","43.496","25.324399999999997","11.4","42.544","25.461599999999997","11.4","42.544000000000004","25.486","10.488000000000001","43.664"
"94","25.326000000000004","10.592","45.416000000000004","25.690000000000005","10.832","40.584","25.6832","10.832","40.92","25.734400000000004","11.28","40.608"
"95","26.746","0.224","43.928000000000004","25.773199999999996","11.056","42.296","25.8832","11.168","42.071999999999996","26.0608","11.056000000000001","42.647999999999996"
"96","25.0484","10.952","40.928000000000004","25.0392","10.952","40.128","25.1024","10.84","40.03200000000001","25.3416","10.032000000000002","41.040000000000006"
"97","27.8764","11.512","46.784","26.436800000000005","10.824","42.216","26.3196","10.824","42.672000000000004","26.513600000000004","10.256","42.888"
"98","24.986399999999996","0.448","53.42400000000001","25.9156","10.815999999999999","43.584","26.49","10.815999999999999","43.344","26.6416","10.591999999999999","42.536"
"99","26.637199999999996","11.055999999999997","47.232","25.757200000000005","11.168","41.976","26.0084","11.168","42.08800000000001","25.714","10.719999999999999","42.20000000000001"
